ID,N°,Tipo,T,Quechua,Traducción,Sentimiento
S219,219,Oración,S,Huk llanthu allin thak yana t´oqokunamanta waykuramusqa. ,Una paz sombría y perfecta se filtró de las ventanas negras.,ADORMILADO
S220,220,Oración,S,Hukkaq larupi qoraqa q´omerpunin kan.,La hierba siempre es más verde en el otro lado.,ADORMILADO
S221,221,Oración,S,"Yachaqkunaq samanan killakunaqa ishkay killan kan, kamay killamanta poqoy killakama.","Las vacaciones de los estudiantes generalmente duran dos meses, de enero  hasta finales de febrero.",ADORMILADO
S222,222,Oración,S,"Ukhupi, wayraqa kuruyuqmi asnasqa.","En el interior, el aire es mohoso y fétido.",ADORMILADO
S223,223,Oración,S,"Manan imapas qokunchu sichus pachak watuyq kaqtiykipas, huk wata, utaq huk siman ñawpaqpi, llapanta ñawpaqpipuni tarinki.","No importa si tienes cien años, un año, o una semana por delante, siempre tienes todo por delante.",ADORMILADO
S224,224,Oración,S,Imapas harawi kanmanmi pipas harawi ruwaq kanmanmi.,Todo puede ser poesía y cualquiera puede ser un poeta.,ADORMILADO
S225,225,Oración,S,"Ch´usaq utaq ashkhapi sonqo, ¿Imaynapitaq t´aqakunman? Runakuna kanku, kikinninkupi, tukuy larupi sapallanku.","En el corazón de un desierto o en una multitud, ¿cuál es la diferencia? Las personas son, en esencia, solitarias en todas partes.",ADORMILADO
S226,226,Oración,S,Tom mishk´i qosqan qhepaman chaskichiskusqa.,Tom fue aceptado por sus amigos después de que les ofreció dulces.,ADORMILADO
S227,227,Oración,S,Asikullaq runapiqa amapunin sonqoykita churankichu.,Nunca confíes en una persona que siempre está sonriendo.,ADORMILADO
S228,228,Oración,S,Ukhu wasiqa hatunmi qhawakusqa pisi tiyanakunalla kaqtin.,La habitación parecía espaciosa porque había muy pocos muebles en ella.,ADORMILADO
S229,229,Oración,S,Harawiqa runaq kunkan ch´uya rimaymi; Huk t´oqway wakin munaymanta.,La poesía es la sincera voz del alma humana; Una explosión de un cierto tipo de pasión.,ADORMILADO
S230,230,Oración,S,"Sichus huk sumaq lawayuq chhullunkuta rikuni chayqa, manapunin mana mallinichu.","Cuando veo helado con crema batida, nunca puedo contenerme.",ADORMILADO
C001,1,Palabra,W,Chita,Oveja,CALMADO
C002,2,Palabra,W,Chaka,Puente,CALMADO
C003,3,Palabra,W,Theqti,Fritura,CALMADO
C004,4,Palabra,W,Qore,Oro,CALMADO
C005,5,Palabra,W,Lloqlla,Avalancha,CALMADO
C006,6,Palabra,W,Lawita,Quena,CALMADO
C007,7,Palabra,W,Lawa,Sopa,CALMADO
C008,8,Palabra,W,Senqa,Nariz,CALMADO
C009,9,Palabra,W,Kiru,Diente,CALMADO
C010,10,Palabra,W,Tuku,Búho,CALMADO
C011,11,Palabra,W,Sillwi,Luciérnaga,CALMADO
C012,12,Palabra,W,Wira,Grasa,CALMADO
C013,13,Palabra,W,Ismusqa,Podrido,CALMADO
C014,14,Palabra,W,Oqoruru,Berro,CALMADO
C015,15,Palabra,W,Yana,Negro,CALMADO
C016,16,Palabra,W,Hinapunin,Efectivamente,CALMADO
C017,17,Palabra,W,Kumpari,Compadre,CALMADO
C018,18,Palabra,W,Hunt’a,Lleno,CALMADO
C019,19,Palabra,W,Ch´usaq,Vacio,CALMADO
C020,20,Palabra,W,Anqas,Azul,CALMADO
C021,21,Palabra,W,Yachaysapa,Inteligente,CALMADO
C022,22,Palabra,W,Q éwi,Chueco,CALMADO
C023,23,Palabra,W,Aqnapunin,Asi es,CALMADO
C024,24,Palabra,W,Phiña,"Molesta, brava",CALMADO
C025,25,Palabra,W,Llasa,Pesante,CALMADO
C026,26,Palabra,W,Hampina wasi,Centro de Salud,CALMADO
C027,27,Palabra,W,Qhatuna wasi,Mercado,CALMADO
C028,28,Palabra,W,T’ika,Flor,CALMADO
C029,29,Palabra,W,Chayraq ruwasqa kisu,Queso fresco,CALMADO
C030,30,Palabra,W,Runtu,Huevo,CALMADO
C031,31,Palabra,W,Uchu,Ají,CALMADO
C032,32,Palabra,W,Kachi,Sal,CALMADO
C033,33,Palabra,W,Wishlla,Cucharón,CALMADO
C034,34,Palabra,W,Manka,Olla,CALMADO
C035,35,Palabra,W,P´uyñu,Cántaro,CALMADO
C036,36,Palabra,W,Kuchuna,Cuchillo,CALMADO
C037,37,Palabra,W,P’uku,Plato,CALMADO
C038,38,Palabra,W,Theqtichina,Sartén,CALMADO
C039,39,Palabra,W,Aycha,Carne,CALMADO
C040,40,Palabra,W,Q´oncha,Cocina,CALMADO
C041,41,Palabra,W,Maran,Batán,CALMADO
C042,42,Palabra,W,Kachichana,Salero,CALMADO
C043,43,Oración,S,Allillanmi kashani,Estoy muy bien,CALMADO
C044,44,Oración,S,Noqa runa simita yachani,Yo aprendo quechua,CALMADO
C045,45,Oración,S,Noqa hamawt´a kani,Yo soy científico,CALMADO
C046,46,Oración,S,"Sasapunin, runakunaqa hatun phiñachiykunatan panpachankuman. ","Aunque no es fácil, las personas son capaces de perdonar incluso las transgresiones más graves.",CALMADO
C047,47,Oración,S,Tiyanapi tiyasaq,Me sentaré en la silla,CALMADO
C048,48,Oración,S,Qan qhapaq suyuta ñawpaqman pusanki,Tú diriges el pais hacia adelante,CALMADO
C049,49,Oración,S,Pay willakuyta apakachan,Él lleva de un lado a otro el informe,CALMADO
C050,50,Oración,S,Uraypi waka kashan,La vaca está abajo,CALMADO
C051,51,Oración,S,Noqapa taytayqa Rubén,Mi padre es Rubén,CALMADO
C052,52,Oración,S,T´antata apamuspa hamurani,Vine trayendo pan,CALMADO
C053,53,Oración,S,Ladrillukuna k´aspikuna wasi ruwanapaq oqarikunmanmi.,Los ladrillos o la madera se pueden usar para construir una casa.,CALMADO
C054,54,Oración,S,Mana imatapas nisaqchu,No digo nada,CALMADO
C055,55,Oración,S,Wasiman ripusaq,Me iré a casa,CALMADO
C056,56,Oración,S,Qosqomanta hamuni,Vengo de Cusco,CALMADO
C057,57,Oración,S,Uywankuta michinku,Se dedican a pastar sus animales,CALMADO
C058,58,Oración,S,Q´oncha punkupi tiyanchis,Nos sentamos al lado del fogón,CALMADO
C059,59,Oración,S,Pawqar waray killapi tusuni,Bailo en el mes de marzo,CALMADO
C060,60,Oración,S,Runakunaqa allintan ruwayninkuta hunt´anku sichus wakpan kaqtin manahinachu paykunaq ruwayninku kaqtinqa.,Las personas tienen una sensación de cumplimiento cuando hacen más por otros que por sí mismos.,CALMADO
C061,61,Oración,S,Qan layqan kanki,Tú eres brujo,CALMADO
C062,62,Oración,S,Paykuna yanankuwan michisqaku,Ellas habrían pastoreado con sus enamorados,CALMADO
C063,63,Oración,S,Kamachikuyman hina,De acuerdo a lo que el manda,CALMADO
C064,64,Oración,S,Mayninpi thakta tariswan ancha hatun llaki kaqtinpas.,Eventualmente podemos encontrar alivio incluso después de la mayor angustia.,CALMADO
C065,65,Oración,S,Wakman munakuyta qhawachiyqa allin kawsayta apamuwanchis.,Mostrar sensibilidad hacia los demás proporciona un increíble sentido de armonía.,CALMADO
C066,66,Oración,S,Sasachakuy khuyay mit´a qhepamanqa sumaqpunin kakun. ,Es maravilloso sentir relajación completa después de un período de problemas y estrés.,CALMADO
C067,67,Oración,S,Manchakuy khuyay qhepamanqa thakniyuq kayqa allinpunin.,La calma y la tranquilidad son dichas después de sentir estrés y miedo.,CALMADO
C068,68,Oración,S,Noqanchismi llank'anchis,Nosotros trabajamos,CALMADO
C069,69,Oración,S,Kayqa thañillanqan,Esto pasará,CALMADO
C070,70,Oración,S,"Rikchasqa hina kasunchis, ama mancharikusunchu","Estar alerta, no es alarma",CALMADO
C071,71,Oración,S,Tiyaykuy,Tome asiento,CALMADO
C072,72,Oración,S,Pay tusun,Ella baila,CALMADO
C073,73,Oración,S,"Arequipapi tiyani, kaymanta kani.","Vivo en Arequipa, soy de aquí.",CALMADO
C074,74,Oración,S,Apurimaqninta Limaman ripusaq,Viajaré a Lima por Apurimac.,CALMADO
C075,75,Oración,S,Qanwanmi kashani,Estoy contigo,CALMADO
C076,76,Oración,S,Manan imapas sasaqa kanchu,No hay nada imposible,CALMADO
C077,77,Oración,S,Mikhushanin,Estoy comiendo,CALMADO
C078,78,Oración,S,Chakraypi papa kan,En mi chacra hay papa,CALMADO
C079,79,Oración,S,Llaqtaypi lisas kan,En mi pueblo hay olluco,CALMADO
C080,80,Oración,S,Rodolfo wakata qhawaykachan,Rodolfo mira continuamente la vaca,CALMADO
C081,81,Oración,S,Diana ñañanta kusipayan,Diana se alegra de su hermana,CALMADO
C082,82,Oración,S,Paykunawan waqanki,Lloras con ellos,CALMADO
C083,83,Oración,S,Killachay punchawpi chukuta rantisaq,El lunes compraré un gorro,CALMADO
C084,84,Oración,S,Noqa wasiykikama rini,Yo voy hasta tu casa,CALMADO
C085,85,Oración,S,Qam mamaywan purinki,Tú caminas con mi mamá,CALMADO
C086,86,Oración,S,Pay orqomanta wasinkama rinqan,Él corre desde el cerro hasta su casa,CALMADO
C087,87,Oración,S,Noqanchis alqonkuwan pukllanchis,Nosotros jugamos con sus perros,CALMADO
C088,88,Oración,S,Noqayku wallpaykita mikhuyku,Nosotros comemos a tu gallina,CALMADO
C089,89,Oración,S,Noqa wallpata mikhushani,Yo estoy comiendo a la gallina,CALMADO
C090,90,Oración,S,Qan killata rikushanki,Tú estás viendo la luna,CALMADO
C091,91,Oración,S,Noqanchis Telita qhawashanchis,Nosotros miramos la TV,CALMADO
C092,92,Oración,S,Mamanchi llank´ayta munan.,Nuestra madre quiere trabajar,CALMADO
C093,93,Oración,S,Qan qhelqayta munanki,Tu quieres un escrito,CALMADO
C094,94,Oración,S,Confianza esperanza nisqakuna runakunata ruwayniku ruwayta atichin.,La confianza y la esperanza permiten que las personas establezcan objetivos extraordinarios.,CALMADO
C095,95,Oración,S,Dios yanapawanchun allin runa nispa alqoy nihina.,Dios me ayude a ser la persona que mi perro piensa que soy.,CALMADO
C096,96,Oración,S,"Kikinmanhina, runa saksasqan qheman wikch´un yaraqayta.","De acuerdo con su naturaleza, el hombre desprecia el hambre después de satisfacer su apetito.",CALMADO
C097,97,Oración,S,Sophie kikimantahina ruwaqman tukupun llapan onqoqkuna ruwasqanta munanku,Sophie se convirtió en voluntaria cuya devoción es apreciada por todos los pacientes en el hospicio.,CALMADO
C098,98,Oración,S,Manan kusichu  mana chalwayuq qochaman riyqa huk larupitaq ashkha challwayuq qocha kan chayqa.,No es divertido ir a un lago donde no hay peces cuando hay otros lagos cercanos con mucho.,CALMADO
C099,99,Oración,S,"LLaqtan atiyniyuqpuni karqan, warmikuna lichita, aychata, qarakunata apamuranku.","El pueblo era autosuficiente: las mujeres proporcionaban leche, carne y pieles.",CALMADO
C100,100,Oración,S,"Samp´a kasqaykimanta kallpata ruway, samp´aykiqa manan sap´añachu kanqa.","Haz  de tu debilidad tu fuerza, y dejará de ser tu debilidad.",CALMADO
C101,101,Oración,S,Qan akllayta atinki,Tú puedes escoger,CALMADO
C102,102,Oración,S,Kikinmanta ruwaqkunan huk runakunapi qhawayta yachachisqa.,El voluntariado la hizo interesarse en otras personas.,CALMADO
C103,103,Oración,S,Paqarin tutamanta kutimunki,Regrese mañana en la mañana.,CALMADO
C104,104,Oración,S,Filapi suyakamuy,Espere en la fila.,CALMADO
C105,105,Oración,S,Celularta salaman haykuspa upallachiy,Apagar el celular cuando ingrese a esa sala,CALMADO
C106,106,Oración,S,Allillamanta rimaykuway,Hábleme más lento.,CALMADO
C107,107,Oración,S,Ch’aqra muhuta llaqtaman qatun,Él vende granos de la chacra al pueblo,CALMADO
C108,108,Oración,S,imaymana k’irichiskunata Pakaychis,Guarde los objetos peligrosos,CALMADO
C109,109,Oración,S,Taytamamaykiq wasinman ripuy,Vaya a la casa de sus padres,CALMADO
C110,110,Oración,S,Psicologon warmaykitaqa tapunqa yanapananpaq,Un psicólogo va a hacerle preguntas a su hija/o para ayudarla,CALMADO
C111,111,Oración,S,Pruebakunata apamunayki,Tiene que traer pruebas,CALMADO
C112,112,Oración,S,Ima ratupas kutimuyta atinki,Puede volver en cualquier momento,CALMADO
C113,113,Oración,S,Qankuna yachachiq kankichis,Ustedes son profesores,CALMADO
C114,114,Oración,S,Paqarin tutallamanta hamunki,Venga mañana temprano,CALMADO
C115,115,Oración,S,Noqanchis sinchi kanchis,Nosotros somos policías,CALMADO
C116,116,Oración,S,Lloq´emanta phañakama purini,Yo camino desde la izquierda hasta la derecha,CALMADO
C117,117,Oración,S,Kaylawmanta chaylawman haykun,Él/ella entra desde este lado hacia aquel lado,CALMADO
C118,118,Oración,S,Machula t’ikakunamanta moqokama purin,El anciano camina desde las flores hasta la colina,CALMADO
C119,119,Oración,S,Warmikuna wasinkunamanta qhatuna wasiman rinku,Las mujeres van desde sus casas hacia el mercado,CALMADO
C120,120,Oración,S,Warmakuna yanacha wasimanta sach´a sach´aman phawanku,Los niños se apresuran desde la escuela hacia el bosque,CALMADO
C121,121,Oración,S,Noqa taytamamaywan tiyarqani,Yo viví con mis padres,CALMADO
C122,122,Oración,S,Q’omer ponchowan churaway,Ponme el poncho verde,CALMADO
C123,123,Oración,S,Ch’ulluwan churasqa kashani,Tengo puesta la gorra/sombrero,CALMADO
C124,124,Oración,S,Ch’uspikunaqa qhellikunamanta onqoykunata runaman apan,Las moscas transportan enfermedades de los basurales a las personas,CALMADO
C125,125,Oración,S,Pay yachay wasinmanta kaykama hamun,Él viene desde su colegio hasta aquí,CALMADO
C126,126,Oración,S,Kulli sarata t’impuchispa kulli aqhataqa ruwanku,La chicha morada se elabora hirviendo el maíz morado,CALMADO
C127,127,Oración,S,K’urkur sach’aqa suqusmanta aswan sinchin,La caña de curcur es más consistente que el carrizo,CALMADO
C128,128,Oración,S,Onqoqqa wasimanta hampina wasiman rin,El enfermo va desde su casa hacia el hospital,CALMADO
C129,129,Oración,S,"Wikch’usqa raqaykunataqa ""mawk’a llaqta"" nispa sutiyanku","Las ruinas de ediĮcios antiguos se llaman ""pueblos viejos""",CALMADO
C130,130,Oración,S,Ch’eqche llikllata rantiway,Cómprame la manta colorida,CALMADO
C131,131,Oración,S,Pay harawi ruwaq,Él/ella (es) poeta,CALMADO
C132,132,Oración,S,Qhellqasqakunata ñawinchaspaqa yachayninchista kallpachanchis,Leyendo escritos reforzamos nuestros saberes,CALMADO
C133,133,Oración,S,Sara qarpanapaqqa yarqhanta unuta pusamusunchis,Conduciremos el agua por canales para regar la chacra de maíz.,CALMADO
C134,134,Oración,S,Q’oya ichuqa unuyuq oqokunapi allinta wiñan,La paja de la variedad coya se produce en los lugares húmedos,CALMADO
C135,135,Oración,S,Taytaykuq ima saqesqantapas mana maqanakuspam rakinakusaqku,Nos repartiremos sin discusiones las cosas que dejó nuestro padre,CALMADO
C136,136,Oración,S,Noqanchis hampiqkamayuqta yanapanchis,Nosotros ayudamos al doctor,CALMADO
C137,137,Oración,S,Saywan sutin kay rumi perqasqaqqa,Este muro de piedras se llama hito,CALMADO
C138,138,Oración,S,Ishkay sikyaqa huk rikran,Dos varas constituyen una brazada,CALMADO
C139,139,Oración,S,Pay waka michiqmi,El es el pastor de vacas,CALMADO
C140,140,Oración,S,Karullanmanta napaykunakusunchis.,Saludémonos de lejos,CALMADO
C141,141,Oración,S,Runakunamanta karunchakuy,Ejerza el distanciamiento social,CALMADO
C142,142,Oración,S,Ama manchakuychu,Mantenga la calma,CALMADO
C143,143,Oración,S,Pukllasqan,El había jugado,CALMADO
C144,144,Oración,S,Llank’aspaymi sayk’uni,Me canso después de trabajar,CALMADO
C145,145,Oración,S,Mikhuspa hamun,Vino después de comer,CALMADO
C146,146,Oración,S,Chayamunmi,Me consta que llegó,CALMADO
C147,147,Oración,S,Sapa p’unchawsi takini,Dicen que todos los días canto,CALMADO
C148,148,Oración,S,Tayta mamayqa sumaq runa kanku,Mis padres son buenas personas,CALMADO
C149,149,Oración,S,Paykunaqa noqawan tiyanku,Ellos viven conmigo.,CALMADO
C150,150,Oración,S,Taytayqa hatun qharin,Mi padre es un hombre de gran tamaño.,CALMADO
C151,151,Oración,S,Ichaqa mamay huch’uylla,Mi mamá es bajita no más.,CALMADO
C152,152,Oración,S,Taytaypa hukchanqa yuraqña mamaypaqta manaraq,El cabello de mi padre ya está blanco y el de mi madre aún no.,CALMADO
C153,153,Oración,S,Rumikunaqa mayupi kashan,Las piedras están en el río,CALMADO
C154,154,Oración,S,Khuchikuna q’opa patapi tiyanku,Los chanchos viven en el basural,CALMADO
C155,155,Oración,S,Runakuna chakrapi llank’anku,Las personas están trabajndo en la chacra,CALMADO
C156,156,Oración,S,Mamaykichiskuna chitata michinku,Vuestras mamas pasean ovejas,CALMADO
C157,157,Oración,S,Mamanku llaqtata rinku,Sus mamás han ido al pueblo,CALMADO
C158,158,Oración,S,Q'ewisqa makita hampin,Cura la mano torcida,CALMADO
C159,159,Oración,S,Alqo lawata mikhun,El perro come la mazamorra,CALMADO
C160,160,Oración,S,Noqa qoyllorta rikuni,Veo una estrella,CALMADO
C161,161,Oración,S,Pedro t’antata apan,Pedro lleva pan,CALMADO
C162,162,Oración,S,Noqa chakraypi sarata tarpuni,Yo siembro maiz en mi chacra,CALMADO
C163,163,Oración,S,Waynapura p'itaypi llallinakunku,Entre jovenes corriendo se ganan,CALMADO
C164,164,Oración,S,Warmipura mikhunata wayk’unku,Entre mujeres cocinan la comida,CALMADO
C165,165,Oración,S,Ñawsa waka kasqa,La vaca está ciega,CALMADO
C166,166,Oración,S,Hamp’atu mana yawarniyuq kasqa,El sapo no tiene sangre,CALMADO
C167,167,Oración,S,Papay chay aqata upyaykuy,"Papá, tomate esa chicha",CALMADO
C168,168,Oración,S,Juliacha aychata k’aspiman warkuy,Julia cuelga la carne,CALMADO
C169,169,Oración,S,"Juancha, awichaykita puñuysiy","Juan, acompaña a dormir a tu tatarabuela",CALMADO
C170,170,Oración,S,Mario papaykita llank’aysiy,Mario ayuda a trabajar a nuestro padre,CALMADO
C171,171,Oración,S,Mikhunata wawqeykiman apariy,Comienza a llevar la comida a tu tío,CALMADO
C172,172,Oración,S,Maymaykita may risqanman qatikuy,Sigue a tu mama a donde vaya,CALMADO
C173,173,Oración,S,Yachay wasipa punkunqa kichasqapunin kashan,La puerta de la escuela está siempre abierta,CALMADO
C174,174,Oración,S,llaqtaypi sara wiñan,En mi pueblo crece maíz,CALMADO
C175,175,Oración,S,Kay hamp´arapi wishwi kashan,En esta mesa está el aceite.,CALMADO
C176,176,Oración,S,Chay mankapi wishlla kashan,En esa olla está la cucharón.,CALMADO
C177,177,Oración,S,Wak ukyanapi yaku kashan,En aquel vaso está el agua.,CALMADO
C178,178,Oración,S,Kay kachipi ch’arki kashan,En esta sal está el charki/carne seca.,CALMADO
C179,179,Oración,S,Wak chirichinapi sara kashan,En aquella refrigeradora está el maíz.,CALMADO
C180,180,Oración,S,Chay k’anallapi uchu kashan,En esa tostadora está el ají.,CALMADO
C181,181,Oración,S,Kay mankapi wallpata mikhuni,En esta olla como gallina.,CALMADO
C182,182,Oración,S,Chay wishllapi yaku kashan,En ese cucharón hay agua.,CALMADO
C183,183,Oración,S,Wak wasipi mamay kashan,En aquella casa está mi mamá.,CALMADO
C184,184,Oración,S,Kay p’uyñupi upi kashan,En este cántaro está la chicha.,CALMADO
C185,185,Oración,S,Chay qeropi yawar kashan,En ese kero está la sangre.,CALMADO
C186,186,Oración,S,Kay aycha theqtichinapi kashan,Esta carne está en la sartén.,CALMADO
C187,187,Oración,S,Chay t´anta hamp´arapi kashan,En esa mesa está el pan.,CALMADO
C188,188,Oración,S,Wak yuraq runtukuna mankapi kashan,En aquella mesa están los huevos.,CALMADO
C189,189,Oración,S,Kay mishk'i uchukuta maranpi kashan,Este delicioso rocoto molida esta en el batán.,CALMADO
C190,190,Oración,S,Wak asna api p’ukupi kashan,Aquella mazamorra apestosa está en el plato.,CALMADO
C191,191,Oración,S,Noqa sumaq warmita munani,Yo quiero a una chica linda.,CALMADO
C192,192,Oración,S,Qan mishk´i lawata mikhunki,Tú comes una sopa dulce.,CALMADO
C193,193,Oración,S,Pay hatun wasipi tiyan,Él vive en una casa grande.,CALMADO
C194,194,Oración,S,Noqa haya wallpata wayk´uni,Yo cocino una gallina picante.,CALMADO
C195,195,Oración,S,Mana allin theqtichina kan,Hay una sartén malograda.,CALMADO
C196,196,Oración,S,Yayaykichis qoncho yakuta t’inpuchin,Nuestro tío hierve el agua turbia.,CALMADO
C197,197,Oración,S,Noqa kay mishk'i apita mikhuni,Yo como esta mazamorra dulce.,CALMADO
C198,198,Oración,S,Qan chay huch´uy wallpata wayk´unki,Tú cocinas esa gallina pequeña.,CALMADO
C199,199,Oración,S,Pay waq hatun wasipi tiyan,Él vive en aquella casa grande.,CALMADO
C200,200,Oración,S,Noqanchis kay sumaq mankata ruwanchis,Nosotros hacemos esta olla hermosa.,CALMADO
C201,201,Oración,S,Noqayku chay ch’uya orqoman riyku,Nosotros vamos hacia ese cerro limpio.,CALMADO
C202,202,Oración,S,Qankuna qoncho qochapi kashankichis,Ustedes están en aquella laguna turbia.,CALMADO
C203,203,Oración,S,Paykuna kay munay takipi tusunku,Ellos bailan en esta bonita canción.,CALMADO
C204,204,Oración,S,Noqa kay mishk´i lawata mikhuni,Yo como sopa de maíz sabrosa.,CALMADO
C205,205,Oración,S,Q’ochapi chirichina kashan,La refrigeradora esta en la laguna.,CALMADO
C206,206,Oración,S,Taytaypa makin llank’ananpaq,La mano de mi papá sirve para que trabaje.,CALMADO
C207,207,Oración,S,Wawqeykunaq chankinku purinankupaq,Los pies de mis hermanos sirven para que ellos caminen.,CALMADO
C208,208,Oración,S,China michi purishan,La gata esta caminando.,CALMADO
C209,209,Oración,S,Warmi wayk´ushan,La mujer está cocinando.,CALMADO
C210,210,Oración,S,Qankuna tarukata qatikacharankichis,Ustedes perseguían el venado.,CALMADO
C211,211,Oración,S,"Llapan warmikunapin atiyniyuq kallpa tarikun, qhapaq yachay, kallpa ñawpaq yachaywanpuni.","En todas las mujeres se encuentra una fuerza poderosa, una riqueza de instintos, fuerza y ​​una antigua sabiduría eterna.",CALMADO
C212,212,Oración,S,Huk mana pagaspalla yachay ñawpaqman puriytan yanapan sapa p´unchay llakikuytataq chinkachipun.,Una beca proporciona oportunidades para el desarrollo del talento y elimina las preocupaciones diarias.,CALMADO
C213,213,Oración,S,Runaq ruwakuyninqa killapi runa purisqanmi.,El vértice de la realización humana es el hombre que caminó sobre la luna.,CALMADO
C214,214,Oración,S,Khuyayqa procesiónhinan; huk ratulla.,La tristeza es como una procesión; Siempre pasa.,CALMADO
C215,215,Oración,S,Wayna sipaslla kayqa manan ima millaykunatapas sonqonchispi kachinachu. ,El secreto para permanecer joven es abstenerse de sentir cosas que no nos sientan.,CALMADO
C216,216,Oración,S,Wiksa allin kayqa saphin llapan imapas allin kananpaq.,El placer del estómago es la base y la raíz de todo bien.,CALMADO
C217,217,Oración,S,Llank´ana sapankaq kawsaynin kasqanpi churayqa kusikuypaqpunin allin kan.,Un equilibrio entre el trabajo y la vida personal es la clave de la felicidad.,CALMADO
C218,218,Oración,S,"Melonpaq mishk´iynin weqiynin, huk ruphay p´ucaypi mikhusqaqa, sumaqpunin kunkapaq kanqa.","El sabor de un melón jugoso y dulce, comido en un día caluroso, asegura un deleite real para el paladar.",CALMADO
C219,219,Oración,S,Mana sasa ruwaykunaqa maynillanpin ruwakun.,Las cosas simples son siempre las más inusuales.,CALMADO
C220,220,Oración,S,"Sasan wak runakunaq llallisqanpi kusi tariyqa, ichaqa ancha kusikuyta llalliy apamunman.","No es fácil encontrar satisfacción en las victorias de otras personas, pero puede brindar tanta alegría al ganar.",CALMADO
C221,221,Oración,S,"Manan qhepata kutiyta atikunñachu, ichaqa allin ñawpaqman puriytan tarina. ","Ya que es imposible volver atrás, se debe encontrar la mejor manera de seguir adelante.",CALMADO
C222,222,Oración,S,Poqosqa franbuesakunaq mishk´in chay asnayninwan haqay q´oñi mit´aq sukrankunata yuyarichin.,La dulzura de las frambuesas maduras y ese olor singular recuerda las tardes de verano.,CALMADO
C223,223,Oración,S,Luruqa rimanman rimaykunata mana runaq rimasqanta ima. ,Un loro puede incluso decir palabras que un humano no repetirá.,CALMADO
C224,224,Oración,S,Ñawpaq ruwayqa kikin ruwaqpaqpunin sapallanpuni utaq musuqyarichiy kamaq yuyaysapa yuyanninin.,Una patente protege el logro original y único o la innovación que es el resultado del genio creativo de la mente del inventor.,CALMADO
C225,225,Oración,S,"Huk millay runaqa kan, ishkay millaymanta, ishkayninta akllan.","Un pesimista es alguien que, eligiendo entre dos males, elige ambos.",CALMADO
C226,226,Oración,S,"Qolqe waqaychanapaqqa, rantisqanchiskunata allinta qhawana.","Para tener ahorros, debemos equilibrar nuestro presupuesto.",CALMADO
C227,227,Oración,S,"Huk wata qhepaman llank´asqanmanta, Anne rintiqpa pusaqnin tukupun.","Después de trabajar durante un año, Anne se convirtió en el asesor principal del cliente.",CALMADO
C228,228,Oración,S,Musoq mashkaymi nin sapa kuti pisi runan yayaq wasinman rinku.,La investigación más nueva confirma que cada vez menos personas asisten a la iglesia.,CALMADO
C229,229,Oración,S,Ayakuna atawikunapi churasqa kasqaku Egipciokunaq ruwasqanmi kasqa.,Las momias fueron colocadas en tumbas y fueron hechas por egipcios.,CALMADO
C230,230,Oración,S,"Wañuypipas,  allinpunin huk khumpayuq kay yachayqa.","Incluso ante la muerte, es bueno saber que tienes un amigo.",CALMADO
E001,1,Palabra,W,Yachaqmasi,Compañero (de colegio),EMOCIONADO
E002,2,Palabra,W,Qolqe,Dinero,EMOCIONADO
E003,3,Palabra,W,K’uychi,Arco Iris,EMOCIONADO
E004,4,Palabra,W,Kunallan,Ahora,EMOCIONADO
E005,5,Palabra,W,Chaninchay,Justicia,EMOCIONADO
E006,6,Palabra,W,Hamawt´a,Sabio,EMOCIONADO
E007,7,Palabra,W,Aranway,Fábula,EMOCIONADO
E008,8,Palabra,W,Asnapa,Hierbas Aromáticas,EMOCIONADO
E009,9,Palabra,W,Qatikachay,Cacería,EMOCIONADO
E010,10,Palabra,W,Hallpa,Terreno,EMOCIONADO
E011,11,Palabra,W,Hampiq,Curandero / doctor,EMOCIONADO
E012,12,Palabra,W,Hanaq pacha,Cielo,EMOCIONADO
E013,13,Palabra,W,Huch´uy,Pequeño,EMOCIONADO
E014,14,Palabra,W,Illapa,Rayo,EMOCIONADO
E015,15,Palabra,W,Aqha,Chicha,EMOCIONADO
E016,16,Palabra,W,Chakmay,Preparado de la tierra para La siembra,EMOCIONADO
E017,17,Palabra,W,Harawi,Poesía,EMOCIONADO
E018,18,Palabra,W,Ñawi,Ojo,EMOCIONADO
E019,19,Palabra,W,Sach'a,Árbol,EMOCIONADO
E020,20,Palabra,W,Maway,Primeras Papas,EMOCIONADO
E021,21,Palabra,W,Qatiy,Continua! Sigue!,EMOCIONADO
E022,22,Palabra,W,Raymi,Fiesta,EMOCIONADO
E023,23,Palabra,W,Raphi,Hoja,EMOCIONADO
E024,24,Palabra,W,Rurukuna,Granos,EMOCIONADO
E025,25,Palabra,W,Yupaykuna,Números,EMOCIONADO
E026,26,Palabra,W,Siñaskuna,Señas de La naturaleza,EMOCIONADO
E027,27,Palabra,W,Tapuykuna,Preguntas,EMOCIONADO
E028,28,Palabra,W,Phallchay,Hechar Flores,EMOCIONADO
E029,29,Palabra,W,Samp'a,Liviano,EMOCIONADO
E030,30,Palabra,W,Nishu,Mucho,EMOCIONADO
E031,31,Palabra,W,Rakhu,Grueso/Gordo,EMOCIONADO
E032,32,Palabra,W,P'itay,Correr,EMOCIONADO
E033,33,Palabra,W,Tarpuy mit´a,Primavera,EMOCIONADO
E034,34,Palabra,W,Paray mit´a,Verano,EMOCIONADO
E035,35,Palabra,W,QHapaq raymi killa,Diciembre,EMOCIONADO
