quechua,spanish
qoranawan ch'akmasaq,voltearé la tierra con el tirapie
"rodolfo ,  raulpiwan takishanku",rodolforaúl (mas) están cantando
taytay mamaypiwan llank'anku,mi papácon mi mamá trabajan
chunka uraskama suyasqayki,te espero hasta diez de la mañana
hayk'akama yupayta yachanki,¿ hasta cuanto sabes contar ?
wasi wasiman hamunki,vienes al techado (de casa)
rumi rumipi urmarpani,me caí en el pedregal
sara sarapi tuparanchis,nos encontramos en el maiza
aqo aqo manka kashan,la olla está muy arenoso
llusk'a llusk'allaña mayu,es muy rebaloso el rio
wayna sipaskuna hamuychis,jóvenesseñoritas vengan
warmi qharin puñusharanku,espososesposas están durmiendo
marthamanta allinpunin kasharqan ruwayninkuna allinpunin kay sasachaykunapi,estaba orgulloso de marthasu comportamiento digno en circunstancias tan difíciles
llapallan wayna sipaskunata rimaykusaq,les hablarétodos jóvenes
wakin tayta mamakuna takin,algunos padresmadres cantan
"sapa p´unchay onqosqa mamanman watukuq risqa ,  mikhuchisqa ,  llapan tuta larunpi kasqa","todos los días él visitósu madre enferma ,  la alimentó , se quedósu lado durante toda la noche"
wawqe panaykuna wakata michin,mis hermanoshermanas pastorean la vaca
warmi qharikuna llank'anku,mujeresvarones trabajan
warmi qhari tusun,esposaesposo baila/(las) parejas bailan
tayta mamay llaqtaman purinku,mi mamámi papá caminan hacia el pueblo
runakuna tukuy ima llank'aykunata ruwanku,las personas se dedicantodo tipo de trabajo
tukuy ima raymikuna apakun,se realiza todo tipo de fiestas
chakra taypunaykupaq raymichay,para la siembra hacemos fiesta
"añay sinchi llank´ananman ,  maggie wak suyuta llank´aq rinqa","graciassu arduo trabajo ,  maggie podría ir al extranjero para trabajar"
kay kuchunata pimanpas saqemuy,dejacualquiera este cuchillo
mayqenpas tusuchun,que baile cualquiera
lliw warmakuna rimanku,hablan todos los niños
wakin sipaskuna purinku,algunas señoritas caminan
sapallay wasita ruwani,construyo solo mi casa
kikiy yachay wasita rini,el mismo vala escuela
wakin warmikuna rimashan,algunas mujeres están hablando
"tawa wataq mitánmi kan: t´ika mit´a ,  q´oñi mit´a ,  inkill mit´a chiri mit´awan","hay cuatro estaciones: primavera ,  verano ,  otoñoinvierno"
"runakuna anchata khuyanku sapa nanay chhukusqanmanta ,  ichaqa maynillanpi kusisqa kanku mana nanayniyuq kaspa","las personas se quejan tanto en cada punzada de dolor ,  pero rara vez son felices cuando no lo sienten"
qhelqa patara ñawinchayqa aswan kusiskuypunin kan runakunaq kamasqan,leer los libros es lo más divertido que la humanidad ha inventado
qhepa kawsaypi ruwasqanchisqa kunan kawsaytan ruwan,las decisiones hechas en el pasado forman nuestro presente
"hatun simp´asqa chukchantan aparan ,  manataq ima llut´isqapis uyanpi karqanchu","llevaba su largo cabello oscuro trenzado , no había rastro de maquillaje en su cara"
kanmi runakuna anchata yachankuman kikinkumanta wak runakunamantaqa,hay personas que pueden aprender más de sí mismas que de otras
kay teqsi muyupi kanmi huk suyashan hukta,alguien siempre está esperando por alguien más en el mundo
"huk warmiqa manan ukukuchu ,  payqa manan sach´a sach´ata ayqekunqachu","una esposa no es un oso ,  ella no huirálos bosques"
"kawsayqa huk chocolati caja nisqahinan ,  manan hayk´aqpas imatachus tarinki chayta yachankichu","la vida es como una caja de chocolates ,  nunca sabes lo que obtendrás"
huk llanthu allin thak yana t´oqokunamanta waykuramusqa,una paz sombríaperfecta se filtró de las ventanas negras
hukkaq larupi qoraqa q´omerpunin kan,la hierba siempre es más verde en el otro lado
"yachaqkunaq samanan killakunaqa ishkay killan kan ,  kamay killamanta poqoy killakama","las vacaciones de los estudiantes generalmente duran dos meses ,  de enero hasta finales de febrero"
"ukhupi ,  wayraqa kuruyuqmi asnasqa","en el interior ,  el aire es mohosofétido"
"manan imapas qokunchu sichus pachak watuyq kaqtiykipas ,  huk wata ,  utaq huk siman ñawpaqpi ,  llapanta ñawpaqpipuni tarinki","no importa si tienes cien años ,  un año , una semana por delante ,  siempre tienes todo por delante"
imapas harawi kanmanmi pipas harawi ruwaq kanmanmi,todo puede ser poesíacualquiera puede ser un poeta
"ch´usaq utaq ashkhapi sonqo ,   ¿ imaynapitaq t´aqakunman ?  runakuna kanku ,  kikinninkupi ,  tukuy larupi sapallanku","en el corazón de un desiertoen una multitud ,   ¿ cuál es la diferencia ?  las personas son ,  en esencia ,  solitarias en todas partes"
tom mishk´i qosqan qhepaman chaskichiskusqa,tom fue aceptado por sus amigos después de que les ofreció dulces
asikullaq runapiqa amapunin sonqoykita churankichu,nunca confíes en una persona que siempre está sonriendo
ukhu wasiqa hatunmi qhawakusqa pisi tiyanakunalla kaqtin,la habitación parecía espaciosa porque había muy pocos muebles en ella
harawiqa runaq kunkan ch´uya rimaymi; huk t´oqway wakin munaymanta,la poesía es la sincera voz del alma humana; una explosión de un cierto tipo de pasión
"sichus huk sumaq lawayuq chhullunkuta rikuni chayqa ,  manapunin mana mallinichu","cuando veo helado con crema batida ,  nunca puedo contenerme"
chita,oveja
chaka,puente
theqti,fritura
qore,oro
lloqlla,avalancha
lawita,quena
lawa,sopa
senqa,nariz
kiru,diente
tuku,búho
sillwi,luciérnaga
wira,grasa
ismusqa,podrido
oqoruru,berro
yana,negro
hinapunin,efectivamente
kumpari,compadre
hunt'a,lleno
ch´usaq,vacio
anqas,azul
yachaysapa,inteligente
q éwi,chueco
aqnapunin,asi es
phiña,"molesta ,  brava"
llasa,pesante
hampina wasi,centro de salud
qhatuna wasi,mercado
t'ika,flor
chayraq ruwasqa kisu,queso fresco
runtu,huevo
uchu,ají
kachi,sal
wishlla,cucharón
manka,olla
p´uyñu,cántaro
kuchuna,cuchillo
p'uku,plato
theqtichina,sartén
aycha,carne
q´oncha,cocina
maran,batán
kachichana,salero
allillanmi kashani,estoy muy bien
noqa runa simita yachani,yo aprendo quechua
noqa hamawt´a kani,yo soy científico
"sasapunin ,  runakunaqa hatun phiñachiykunatan panpachankuman","aunque no es fácil ,  las personas son capaces de perdonar incluso las transgresiones más graves"
tiyanapi tiyasaq,me sentaré en la silla
qan qhapaq suyuta ñawpaqman pusanki,tú diriges el pais hacia adelante
pay willakuyta apakachan,él lleva de un ladootro el informe
uraypi waka kashan,la vaca está abajo
noqapa taytayqa rubén,mi padre es rubén
t´antata apamuspa hamurani,vine trayendo pan
ladrillukuna k´aspikuna wasi ruwanapaq oqarikunmanmi,los ladrillosla madera se pueden usar para construir una casa
mana imatapas nisaqchu,no digo nada
wasiman ripusaq,me irécasa
qosqomanta hamuni,vengo de cusco
uywankuta michinku,se dedicanpastar sus animales
q´oncha punkupi tiyanchis,nos sentamos al lado del fogón
pawqar waray killapi tusuni,bailo en el mes de marzo
runakunaqa allintan ruwayninkuta hunt´anku sichus wakpan kaqtin manahinachu paykunaq ruwayninku kaqtinqa,las personas tienen una sensación de cumplimiento cuando hacen más por otros que por sí mismos
qan layqan kanki,tú eres brujo
paykuna yanankuwan michisqaku,ellas habrían pastoreado con sus enamorados
kamachikuyman hina,de acuerdolo que el manda
mayninpi thakta tariswan ancha hatun llaki kaqtinpas,eventualmente podemos encontrar alivio incluso después de la mayor angustia
wakman munakuyta qhawachiyqa allin kawsayta apamuwanchis,mostrar sensibilidad hacia los demás proporciona un increíble sentido de armonía
sasachakuy khuyay mit´a qhepamanqa sumaqpunin kakun,es maravilloso sentir relajación completa después de un período de problemasestrés
manchakuy khuyay qhepamanqa thakniyuq kayqa allinpunin,la calmala tranquilidad son dichas después de sentir estrésmiedo
noqanchismi llank'anchis,nosotros trabajamos
kayqa thañillanqan,esto pasará
"rikchasqa hina kasunchis ,  ama mancharikusunchu","estar alerta ,  no es alarma"
tiyaykuy,tome asiento
pay tusun,ella baila
"arequipapi tiyani ,  kaymanta kani","vivo en arequipa ,  soy de aquí"
apurimaqninta limaman ripusaq,viajarélima por apurimac
qanwanmi kashani,estoy contigo
manan imapas sasaqa kanchu,no hay nada imposible
mikhushanin,estoy comiendo
chakraypi papa kan,en mi chacra hay papa
llaqtaypi lisas kan,en mi pueblo hay olluco
rodolfo wakata qhawaykachan,rodolfo mira continuamente la vaca
diana ñañanta kusipayan,diana se alegra de su hermana
paykunawan waqanki,lloras con ellos
killachay punchawpi chukuta rantisaq,el lunes compraré un gorro
noqa wasiykikama rini,yo voy hasta tu casa
qam mamaywan purinki,tú caminas con mi mamá
pay orqomanta wasinkama rinqan,él corre desde el cerro hasta su casa
noqanchis alqonkuwan pukllanchis,nosotros jugamos con sus perros
noqayku wallpaykita mikhuyku,nosotros comemostu gallina
noqa wallpata mikhushani,yo estoy comiendola gallina
qan killata rikushanki,tú estás viendo la luna
noqanchis telita qhawashanchis,nosotros miramos la tv
mamanchi llank´ayta munan,nuestra madre quiere trabajar
qan qhelqayta munanki,tu quieres un escrito
confianza esperanza nisqakuna runakunata ruwayniku ruwayta atichin,la confianzala esperanza permiten que las personas establezcan objetivos extraordinarios
dios yanapawanchun allin runa nispa alqoy nihina,dios me ayudeser la persona que mi perro piensa que soy
"kikinmanhina ,  runa saksasqan qheman wikch´un yaraqayta","de acuerdo con su naturaleza ,  el hombre desprecia el hambre después de satisfacer su apetito"
sophie kikimantahina ruwaqman tukupun llapan onqoqkuna ruwasqanta munanku,sophie se convirtió en voluntaria cuya devoción es apreciada por todos los pacientes en el hospicio
manan kusichu mana chalwayuq qochaman riyqa huk larupitaq ashkha challwayuq qocha kan chayqa,no es divertido irun lago donde no hay peces cuando hay otros lagos cercanos con mucho
"llaqtan atiyniyuqpuni karqan ,  warmikuna lichita ,  aychata ,  qarakunata apamuranku","el pueblo era autosuficiente: las mujeres proporcionaban leche ,  carnepieles"
"samp´a kasqaykimanta kallpata ruway ,  samp´aykiqa manan sap´añachu kanqa","haz de tu debilidad tu fuerza , dejará de ser tu debilidad"
qan akllayta atinki,tú puedes escoger
kikinmanta ruwaqkunan huk runakunapi qhawayta yachachisqa,el voluntariado la hizo interesarse en otras personas
paqarin tutamanta kutimunki,regrese mañana en la mañana
filapi suyakamuy,espere en la fila
celularta salaman haykuspa upallachiy,apagar el celular cuando ingreseesa sala
allillamanta rimaykuway,hábleme más lento
ch'aqra muhuta llaqtaman qatun,él vende granos de la chacra al pueblo
imaymana k'irichiskunata pakaychis,guarde los objetos peligrosos
taytamamaykiq wasinman ripuy,vayala casa de sus padres
psicologon warmaykitaqa tapunqa yanapananpaq,un psicólogo vahacerle preguntassu hija/o para ayudarla
pruebakunata apamunayki,tiene que traer pruebas
ima ratupas kutimuyta atinki,puede volver en cualquier momento
qankuna yachachiq kankichis,ustedes son profesores
paqarin tutallamanta hamunki,venga mañana temprano
noqanchis sinchi kanchis,nosotros somos policías
lloq´emanta phañakama purini,yo camino desde la izquierda hasta la derecha
kaylawmanta chaylawman haykun,él/ella entra desde este lado hacia aquel lado
machula t'ikakunamanta moqokama purin,el anciano camina desde las flores hasta la colina
warmikuna wasinkunamanta qhatuna wasiman rinku,las mujeres van desde sus casas hacia el mercado
warmakuna yanacha wasimanta sach´a sach´aman phawanku,los niños se apresuran desde la escuela hacia el bosque
noqa taytamamaywan tiyarqani,yo viví con mis padres
q'omer ponchowan churaway,ponme el poncho verde
ch'ulluwan churasqa kashani,tengo puesta la gorra/sombrero
ch'uspikunaqa qhellikunamanta onqoykunata runaman apan,las moscas transportan enfermedades de los basuraleslas personas
pay yachay wasinmanta kaykama hamun,él viene desde su colegio hasta aquí
kulli sarata t'impuchispa kulli aqhataqa ruwanku,la chicha morada se elabora hirviendo el maíz morado
k'urkur sach'aqa suqusmanta aswan sinchin,la caña de curcur es más consistente que el carrizo
onqoqqa wasimanta hampina wasiman rin,el enfermo va desde su casa hacia el hospital
"wikch'usqa raqaykunataqa ""mawk'a llaqta"" nispa sutiyanku","las ruinas de ediįcios antiguos se llaman ""pueblos viejos"""
ch'eqche llikllata rantiway,cómprame la manta colorida
pay harawi ruwaq,él/ella (es) poeta
qhellqasqakunata ñawinchaspaqa yachayninchista kallpachanchis,leyendo escritos reforzamos nuestros saberes
sara qarpanapaqqa yarqhanta unuta pusamusunchis,conduciremos el agua por canales para regar la chacra de maíz
q'oya ichuqa unuyuq oqokunapi allinta wiñan,la paja de la variedad coya se produce en los lugares húmedos
taytaykuq ima saqesqantapas mana maqanakuspam rakinakusaqku,nos repartiremos sin discusiones las cosas que dejó nuestro padre
noqanchis hampiqkamayuqta yanapanchis,nosotros ayudamos al doctor
saywan sutin kay rumi perqasqaqqa,este muro de piedras se llama hito
ishkay sikyaqa huk rikran,dos varas constituyen una brazada
pay waka michiqmi,el es el pastor de vacas
karullanmanta napaykunakusunchis,saludémonos de lejos
runakunamanta karunchakuy,ejerza el distanciamiento social
ama manchakuychu,mantenga la calma
pukllasqan,el había jugado
llank'aspaymi sayk'uni,me canso después de trabajar
mikhuspa hamun,vino después de comer
chayamunmi,me consta que llegó
sapa p'unchawsi takini,dicen que todos los días canto
tayta mamayqa sumaq runa kanku,mis padres son buenas personas
paykunaqa noqawan tiyanku,ellos viven conmigo
taytayqa hatun qharin,mi padre es un hombre de gran tamaño
ichaqa mamay huch'uylla,mi mamá es bajita no más
taytaypa hukchanqa yuraqña mamaypaqta manaraq,el cabello de mi padre ya está blancoel de mi madre aún no
rumikunaqa mayupi kashan,las piedras están en el río
khuchikuna q'opa patapi tiyanku,los chanchos viven en el basural
runakuna chakrapi llank'anku,las personas están trabajndo en la chacra
mamaykichiskuna chitata michinku,vuestras mamas pasean ovejas
mamanku llaqtata rinku,sus mamás han ido al pueblo
q'ewisqa makita hampin,cura la mano torcida
alqo lawata mikhun,el perro come la mazamorra
noqa qoyllorta rikuni,veo una estrella
pedro t'antata apan,pedro lleva pan
noqa chakraypi sarata tarpuni,yo siembro maiz en mi chacra
waynapura p'itaypi llallinakunku,entre jovenes corriendo se ganan
warmipura mikhunata wayk'unku,entre mujeres cocinan la comida
ñawsa waka kasqa,la vaca está ciega
hamp'atu mana yawarniyuq kasqa,el sapo no tiene sangre
papay chay aqata upyaykuy,"papá ,  tomate esa chicha"
juliacha aychata k'aspiman warkuy,julia cuelga la carne
"juancha ,  awichaykita puñuysiy","juan ,  acompañadormirtu tatarabuela"
mario papaykita llank'aysiy,mario ayudatrabajarnuestro padre
mikhunata wawqeykiman apariy,comienzallevar la comidatu tío
maymaykita may risqanman qatikuy,siguetu mamadonde vaya
yachay wasipa punkunqa kichasqapunin kashan,la puerta de la escuela está siempre abierta
llaqtaypi sara wiñan,en mi pueblo crece maíz
kay hamp´arapi wishwi kashan,en esta mesa está el aceite
chay mankapi wishlla kashan,en esa olla está la cucharón
wak ukyanapi yaku kashan,en aquel vaso está el agua
kay kachipi ch'arki kashan,en esta sal está el charki/carne seca
wak chirichinapi sara kashan,en aquella refrigeradora está el maíz
chay k'anallapi uchu kashan,en esa tostadora está el ají
kay mankapi wallpata mikhuni,en esta olla como gallina
chay wishllapi yaku kashan,en ese cucharón hay agua
wak wasipi mamay kashan,en aquella casa está mi mamá
kay p'uyñupi upi kashan,en este cántaro está la chicha
chay qeropi yawar kashan,en ese kero está la sangre
kay aycha theqtichinapi kashan,esta carne está en la sartén
chay t´anta hamp´arapi kashan,en esa mesa está el pan
wak yuraq runtukuna mankapi kashan,en aquella mesa están los huevos
kay mishk'i uchukuta maranpi kashan,este delicioso rocoto molida esta en el batán
wak asna api p'ukupi kashan,aquella mazamorra apestosa está en el plato
noqa sumaq warmita munani,yo quierouna chica linda
qan mishk´i lawata mikhunki,tú comes una sopa dulce
pay hatun wasipi tiyan,él vive en una casa grande
noqa haya wallpata wayk´uni,yo cocino una gallina picante
mana allin theqtichina kan,hay una sartén malograda
yayaykichis qoncho yakuta t'inpuchin,nuestro tío hierve el agua turbia
noqa kay mishk'i apita mikhuni,yo como esta mazamorra dulce
qan chay huch´uy wallpata wayk´unki,tú cocinas esa gallina pequeña
pay waq hatun wasipi tiyan,él vive en aquella casa grande
noqanchis kay sumaq mankata ruwanchis,nosotros hacemos esta olla hermosa
noqayku chay ch'uya orqoman riyku,nosotros vamos hacia ese cerro limpio
qankuna qoncho qochapi kashankichis,ustedes están en aquella laguna turbia
paykuna kay munay takipi tusunku,ellos bailan en esta bonita canción
noqa kay mishk´i lawata mikhuni,yo como sopa de maíz sabrosa
q'ochapi chirichina kashan,la refrigeradora esta en la laguna
taytaypa makin llank'ananpaq,la mano de mi papá sirve para que trabaje
wawqeykunaq chankinku purinankupaq,los pies de mis hermanos sirven para que ellos caminen
china michi purishan,la gata esta caminando
warmi wayk´ushan,la mujer está cocinando
qankuna tarukata qatikacharankichis,ustedes perseguían el venado
"llapan warmikunapin atiyniyuq kallpa tarikun ,  qhapaq yachay ,  kallpa ñawpaq yachaywanpuni","en todas las mujeres se encuentra una fuerza poderosa ,  una riqueza de instintos ,  fuerza​​una antigua sabiduría eterna"
huk mana pagaspalla yachay ñawpaqman puriytan yanapan sapa p´unchay llakikuytataq chinkachipun,una beca proporciona oportunidades para el desarrollo del talentoelimina las preocupaciones diarias
runaq ruwakuyninqa killapi runa purisqanmi,el vértice de la realización humana es el hombre que caminó sobre la luna
khuyayqa procesiónhinan; huk ratulla,la tristeza es como una procesión; siempre pasa
wayna sipaslla kayqa manan ima millaykunatapas sonqonchispi kachinachu,el secreto para permanecer joven es abstenerse de sentir cosas que no nos sientan
wiksa allin kayqa saphin llapan imapas allin kananpaq,el placer del estómago es la basela raíz de todo bien
llank´ana sapankaq kawsaynin kasqanpi churayqa kusikuypaqpunin allin kan,un equilibrio entre el trabajola vida personal es la clave de la felicidad
"melonpaq mishk´iynin weqiynin ,  huk ruphay p´ucaypi mikhusqaqa ,  sumaqpunin kunkapaq kanqa","el sabor de un melón jugosodulce ,  comido en un día caluroso ,  asegura un deleite real para el paladar"
mana sasa ruwaykunaqa maynillanpin ruwakun,las cosas simples son siempre las más inusuales
"sasan wak runakunaq llallisqanpi kusi tariyqa ,  ichaqa ancha kusikuyta llalliy apamunman","no es fácil encontrar satisfacción en las victorias de otras personas ,  pero puede brindar tanta alegría al ganar"
"manan qhepata kutiyta atikunñachu ,  ichaqa allin ñawpaqman puriytan tarina","ya que es imposible volver atrás ,  se debe encontrar la mejor manera de seguir adelante"
poqosqa franbuesakunaq mishk´in chay asnayninwan haqay q´oñi mit´aq sukrankunata yuyarichin,la dulzura de las frambuesas madurasese olor singular recuerda las tardes de verano
luruqa rimanman rimaykunata mana runaq rimasqanta ima,un loro puede incluso decir palabras que un humano no repetirá
ñawpaq ruwayqa kikin ruwaqpaqpunin sapallanpuni utaq musuqyarichiy kamaq yuyaysapa yuyanninin,una patente protege el logro originalúnicola innovación que es el resultado del genio creativo de la mente del inventor
"huk millay runaqa kan ,  ishkay millaymanta ,  ishkayninta akllan","un pesimista es alguien que ,  eligiendo entre dos males ,  elige ambos"
"qolqe waqaychanapaqqa ,  rantisqanchiskunata allinta qhawana","para tener ahorros ,  debemos equilibrar nuestro presupuesto"
"huk wata qhepaman llank´asqanmanta ,  anne rintiqpa pusaqnin tukupun","después de trabajar durante un año ,  anne se convirtió en el asesor principal del cliente"
musoq mashkaymi nin sapa kuti pisi runan yayaq wasinman rinku,la investigación más nueva confirma que cada vez menos personas asistenla iglesia
ayakuna atawikunapi churasqa kasqaku egipciokunaq ruwasqanmi kasqa,las momias fueron colocadas en tumbasfueron hechas por egipcios
"wañuypipas ,  allinpunin huk khumpayuq kay yachayqa","incluso ante la muerte ,  es bueno saber que tienes un amigo"
yachaqmasi,compañero (de colegio)
qolqe,dinero
k'uychi,arco iris
kunallan,ahora
chaninchay,justicia
hamawt´a,sabio
aranway,fábula
asnapa,hierbas aromáticas
qatikachay,cacería
hallpa,terreno
hampiq,curanderodoctor
hanaq pacha,cielo
huch´uy,pequeño
illapa,rayo
aqha,chicha
chakmay,preparado de la tierra para la siembra
harawi,poesía
ñawi,ojo
sach'a,árbol
maway,primeras papas
qatiy,continua !  sigue !
raymi,fiesta
raphi,hoja
rurukuna,granos
yupaykuna,números
siñaskuna,señas de la naturaleza
tapuykuna,preguntas
phallchay,hechar flores
samp'a,liviano
nishu,mucho
rakhu,grueso/gordo
p'itay,correr
tarpuy mit´a,primavera
paray mit´a,verano
qhapaq raymi killa,diciembre
paqarin,mañana
minchha,pasado mañana
tutantin,toda la noche
waynasipas,la juventud
wasichay,techar casa
qesachay,hacer nido
rit'i,nieve
mayukunan ch'uya karan,los ríos eran limpios
wayrapas ch'uyallataq karan,el aire era puro
qorakunawanmi hampiwaran,me curó con hierbas
kuchuta wasiykiman apanki,lleva el sombrerotu casa
aqhata apamuway,tráeme la chicha
kunan arequipamanta chayamunqa,hoy llegará de arequipa
wawqeytan yanapasaq,le ayudarémi hermano
ishkay killapin yachasaq,aprenderé enmeses
noqapiwanmi risun,iremos conmigo
noqan chaypi kanaypunin,yo tengo que estar allí
noqan yachachiq kasaq,yo seré profesor
awayta yachachinqa,enseñarátejer
waynakuna pukllashan,los jóvenes están jugando
llapaykichis hamuychis,vengan todos
wawqekunan paqarin tocanqaku,mañana los hermanos vantocar
paqarin tutallamanta hamusaq,vendré mañana temprano
paraqa qolla poqoy killapin qallarin,el tiempo de lluvia empieza en enero
kay uchu sinchita hayan,este ají pica fuertemente
wasi qhepapi pakasqa kashan,está escondido detrás de la casa
aqhata ukyaykusun,beberemos chicha
haku yachaq,vamosaprender !
paymi hamuran,él vino
michiyki qhawashan,esta mirando tu gato
coronavirusmanta hark'akuy,protégete del coronavirus
ama llakikuychu,no te preocupes
waylluyqa allinmi,amar es bueno
noqa tusushani,estoy bailando
noqaykuqa warmikunan kayku,nosotras somos mujeres
qan chocolatita munanki,tú quieres chocolate
noqayku wasiykita rishayku,nosotros estamos yendotu casa
noqa allinta runa simita rimani,yo hablo bien quechua
kunanqa p'unchawniykin,hoy es tu dia !
hamuqtinqa tususunchismi,si viene bailaremos
kay sumaq llaqtapi tiyayku,vivimos en este hermoso pueblo
mamanchiskunaqa anchata munakuwanchis,nuestras mamás nos quieren mucho
noqa qoyllurta rikuni,veo una estrella
"maria ,  hawas hank'ata ruway","maria ,  haz tostado de habas"
wata hunt'aytan tususunchis,"cumpliendo el año ,  bailaremos !"
mamaykita much'aykuy,"a tu mamá ,  dale beso"
"qanrí ,   ¿ maymanta hamushanki ?",y tú  ¿ de dónde vienes ?
"¡hakuchis ,  mink´arikusqayki chuwipi pukllayta !","¡vamos ,  te invitojugar canicas !"
paraqtinqa ama hamunkichu,"si llueve ,  ¡no vengas !"
ñawpaq runakunaqa qocha unupis qhawakuranku,dicen que antiguamente las personas utilizaban el agua de las lagunas como espejos
paqarinmi siwarataqa rutusunchis,mañana haremos segar la cebada
tarpuy killapaqñan hamusaq,vendré ya para la época del sembrío
qayra michiqa ch'umpi uqi,el gato montés es de color café plomizo
chay yuraq millwataqa pukamanmi tullpusaq,esa lana blanca voyteñirlarojo
allin p'unchay kachun yachachiq,que tengas buen dia profesor
llank'ayniymantan rimariyta munani,quiero explicar nuestro trabajo
kunanri  ¿ maytataq risaq ?,y ahora  ¿ adónde iré ?
ninkun huk qella waynatan usa mikhurapusqa,cuentan queun joven ocioso se lo comieron los piojos
qhopu runakunataqa llullakusqankuna q'epinmi ninku,a las personas jorobadas les dicen que cargan sus mentiras
"taytay ,  yachachiqmi kay qhelqasqa raphichata apachimusunki","¡papá !  ,  mi profesora te envió este papelito escrito"
llink'i hallp´aqa resisqa tarinakunallapin kan,la arcilla plástica solamente se encuentra en lugares conocidos
nishutan uchuta mikhurusqa chaymi wiksa ruphariywan waqashan,había comido mucho ají por eso ahora está llorando con ardor de estómago
kay qowi k´ankaqa mishk'illañan kashan,este asado de cuy está muy agradable
haqay alqota qhaway atoqpa uha sipisqantan mikhurapushan,véaquel perro͗ se está comiendo la oveja que mató el zorro
p'itaypiqa llalliykin,te gané en la carrera
sara tarpuymanta yachaqta tapusunchis,entrevistemos al sabio sobre el sembrío de la papa
runa sipiqtan tariramuyku,hemos encontrado al asesino
payqa cheqaqtan niqa,ella le vadecir la verdad
vacunakunaqa onqoymantan hark'awanchis,las vacunas nos protegen de las enĩermedades
inti raymi p'unchawqa ishkay chunka tawayuq inti raymi killatan raymichakun,dicen que la fiesta del sol se festejaba el día ϭ de junio
kay mikhuyqa ch'akiypaqmi ancha allin,este alimento es muy bueno para aplacar la sed
runaqa kusikuywanmi chakranta llank'an,el hombre trabaja con alegría su chakra
chay qhesti wakaytaqa wayra killapi p'unchawniypi mikhusunchis,esa mi vaca barrosa la comeremos en el mes de agosto por mis cumpleaños
llapallan aylluntinmi sarata waqaychanku,toda la familia está entrojando el maíz
paqarinmi suchikunata challwaq risunchis,mañana iremospescar suches
chay wawaqa ancha yachayniyuqmi kasqa,esa criatura tiene muchos conocimientos
wawaqa suti taytanman chimpaykun,la niña se acercósu padrino de bautismo
mana rikuchikuspallan unchuchukuchaqa runakunata qhawan,la comadreja observalas personas sin ser vista
sapanka ch'ichimantapas huk yuraqa wiñamunmanmi,de cada brote puede generarse una nueva planta
sara tarpusqanchisqa ñan ch'ichiramunqa,ya germinó el maíz que sembramos
wik´uñakunaqa huñusqallapin purinku,las vicuñas caminan siempre formando tropas
hat'aqutaqa yuyutahinam ima mikhuypipas wayk'ukunapuni,los bledos son buenos para consumirlos cocidos como verduras
roqoto sirk'anqa ancha hayallañan,la vena del rocoto es muy picante
kunan wata qollanapaq kanaypaqmi akllawaranku,me eligieron para ser dirigente por este año
arequipa llaqtaqa sillarkunawan ruwasqan kashan,las casas de arequipa están hechas de piedra sillar
papa wathiyanapaq hurnuta ruphachiy,haz calentar el horno para asar papas
kirkinchuq sillunkunaqa aswan kuchukuqmi añasmanta,el armadillo tiene uñas más filudas que el zorrino
qaparispa hinaraqmi rimanki,hablarás en voz fuerte
k'ulluta allichasunchis wasichanapaq,preparemos tablas para techar la casa
wik'uñaqa alquta p'itaspa llallin,la vicuña le gana en correr al perro
wawaykiwan wawaywanqa kasqan watayuqmi kanku,tu hijomi hijo tienen la misma edad
alqoqa yupinta mushkhispalla duyñunta tarin,el perro encontrósu dueño olfateando sus huellas solamente
chay qhatata pukllananchispaq pampachasunchis,aplanemos esa ladera para jugar
chay sumaq wasiqa hatun rumikunawan ruwasqan kashan,esta hermosa casa está hecha de piedras grandes
ñandutaqa manan kawallupi phawaspapas aypasunchismanchu,al ñandú no le podemos dar alcance ni corriendocaballo
ninkun ñawpa runakunaqa ukumari qarawanmi p'achakuranku,dicen que las personas antiguas se cubrían el cuerpo con piel del oso
sutiykita ayllu sutiykitawan qhillqay,escribe tu nombreapellido
huñunasqa rimaypa tukuyninpi muyuchata churay,pon un punto al final de la oración
hatun raphipi harawita ruwasunchis,escribiremos un poema en un papelote
¡hamuy !  ¡p'itay !,"¡ven !  ,  ¡corre !"
rimaykunatam kunan pachapi qhillqasaq,voyescribir las oraciones en tiempo presente'
ruraqqa rimaypa kaqninmi,el sujeto es un elemento de la oración'
sutichayqa suti llapanman churaymi,nombrar es poner nombretodo ser
¡runa siminchis kawsachun !,¡viva nuestra lengua quechua !
¿ qhelqasqaykunaqa rakikuyniyuqmi ?,¿ mi escrito contiene sus partes ?
kikiykimanta qhelqay,escribe tu autobiografía
kay rimanata ñawpa pachapi qhelqay,conjuga este verbo en tiempo pasado
¿ imataq rimaykuna  ?,¿ qué es una frase ?
ashkha qhelqakunata ruwasunchis,hay que producir muchos textos
kay rimaykunaq saphinta t'aqay,separa la raíz de estas palabras
ch´ulla sutikunata seq´ey,subraya los sustantivos singulares
"yachachiqmi rimashan ,  ama hark'asunchu","está hablando el profesor ,  no interrumpamos"
saqsampillu sutiyuq tusuyqa mawk´a p'achakunawanmi tusukun,el sacsampillo se baila con ropas viejas
saraqa hank'api hinallataq mut'ipi mikhukun,el maíz se come en tostado como en mote
